Date,Daily_Vehicle_Registration,Metro_Ridership_Millions,Total_Vehicles_Cumulative
2021-01-01,158.0,3.2351072744285725,158.0
2021-01-02,166.29812711217096,1.7594989380153485,324.29812711217096
2021-01-03,157.59320733604196,1.8055873597463112,481.8913344482129
2021-01-04,161.88515384582087,3.212293014116906,643.7764882940337
2021-01-05,161.17388074303196,3.2948883386115506,804.9503690370657
2021-01-06,159.45930308193468,3.2776374049197927,964.4096721190003
2021-01-07,160.74133689466038,3.1698165503209905,1125.1510090136608
2021-01-08,167.01989921605988,3.28207253484053,1292.1709082297207
2021-01-09,158.29490810825413,1.768752767759088,1450.4658163379747
2021-01-10,165.56628268488095,1.7708272104379517,1616.0320990228556
2021-01-11,160.83394313503064,3.3208877826035668,1776.8660421578863
2021-01-12,163.09781074686313,3.333196333148342,1939.9638529047495
2021-01-13,162.3578079309004,3.2737384111641505,2102.3216608356497
2021-01-14,169.61385824298625,3.501944056863292,2271.935519078636
2021-01-15,161.86588640690732,3.1909874225292976,2433.8014054855435
2021-01-16,163.11381833666866,1.7531203991630153,2596.9152238222123
2021-01-17,162.35758115841688,2.0016705687745873,2759.272804980629
2021-01-18,162.59710323200474,3.227494473728112,2921.869908212634
2021-01-19,167.83231417219062,3.1928523932003054,3089.702222384825
2021-01-20,161.06314486946664,3.470694461982414,3250.7653672542915
2021-01-21,165.2895275105092,3.111521835972508,3416.054894764801
2021-01-22,167.51139559824617,3.357257813500477,3583.566290363047
2021-01-23,163.72868397153434,1.9777993182793046,3747.294974334581
2021-01-24,167.94132882444174,1.7227912909346705,3915.236303159023
2021-01-25,166.14926772512874,3.1488239211784927,4081.3855708841515
2021-01-26,168.35243963432265,3.2177075374637036,4249.738010518474
2021-01-27,166.55078492338032,3.5354615107173597,4416.288795441854
2021-01-28,168.74424539193316,3.570919499967234,4585.033040833787
2021-01-29,166.9327642851095,3.364034046194116,4751.965805118896
2021-01-30,166.11628631032937,1.898295970533562,4918.082091429225
2021-01-31,167.29475765366638,1.950946182678059,5085.376849082892
2021-02-01,173.4681259957722,3.680614044671507,5258.844975078664
2021-02-02,169.63634052735864,3.421983191752781,5428.481315606023
2021-02-03,168.79935196423298,3.1605028536317414,5597.280667570256
2021-02-04,165.95711256188193,3.35860526375765,5763.237780132138
2021-02-05,163.1095761296,3.4153966085601826,5926.347356261738
2021-02-06,173.2566980441581,1.8537698190794232,6099.604054305896
2021-02-07,168.3984352630082,1.8616688348122359,6268.002489568904
2021-02-08,168.5347463370204,3.6326236826894682,6436.537235905925
2021-02-09,166.66559142274838,3.658133582673339,6603.202827328673
2021-02-10,167.7909322942196,3.475359067249608,6770.993759622893
2021-02-11,165.91073235424716,3.6456251396992645,6936.90449197714
2021-02-12,166.0249566452594,3.5543887328986408,7102.9294486224
2021-02-13,171.13357185964438,1.8960700050478492,7274.0630204820445
2021-02-14,167.23654634960616,1.9576600468701801,7441.299566831651
2021-02-15,165.33385013653,3.5320336934914964,7606.63341696818
2021-02-16,167.42545491985334,3.7949129962924975,7774.0588718880335
2021-02-17,171.51133408544052,3.345078621239766,7945.570205973474
2021-02-18,169.59146271345818,3.4696909160298848,8115.161668686932
2021-02-19,169.66581758574972,3.5247219080636274,8284.827486272681
2021-02-20,168.73437719270558,1.939925230106502,8453.561863465387
2021-02-21,169.79712173962858,2.000253714541589,8623.358985205015
2021-02-22,169.85403315259126,3.55099407000182,8793.213018357606
2021-02-23,167.9050950837844,3.373429870359697,8961.118113441391
2021-02-24,167.95029291635456,3.671909135620684,9129.068406357746
2021-02-25,170.98961376872938,3.664497134009095,9300.058020126477
2021-02-26,171.02304649842952,3.3177874202277042,9471.081066624905
2021-02-27,169.05058170536586,1.9242010841735901,9640.13164833027
2021-02-28,174.07221173462113,1.8151421664700271,9814.203860064892
2021-03-01,171.08793067871517,3.4948810443225096,9985.291790743608
2021-03-02,170.09773437935303,3.4674114335786737,10155.38952512296
2021-03-03,170.10162042865542,3.6933728461611293,10325.491145551616
2021-03-04,169.09958816987134,3.6066481298572497,10494.590733721487
2021-03-05,175.0916386975723,3.427524105372896,10669.682372419058
2021-03-06,171.07777485732856,1.99884905831436,10840.760147276387
2021-03-07,167.05800124486697,1.8384857925511462,11007.818148521254
2021-03-08,169.0323242047111,3.646522360879364,11176.850472725964
2021-03-09,168.00075182830363,3.500563596354296,11344.851224554268
2021-03-10,166.96329395161226,3.5615189178270272,11511.81451850588
2021-03-11,169.91996215221874,3.6771778402699917,11681.734480658099
2021-03-12,170.8707697458932,3.681869759413728,11852.605250403993
2021-03-13,169.81573178265356,2.04089753219906,12022.420982186646
2021-03-14,174.7548650423121,1.9427594508747559,12197.175847228958
2021-03-15,169.68818802951,3.660646857445642,12366.864035258468
2021-03-16,169.6157209682416,3.5659260921866274,12536.47975622671
2021-03-17,168.53748579586966,3.648404000708388,12705.01724202258
2021-03-18,168.45350615663384,3.6836809809086977,12873.470748179214
2021-03-19,167.363807394654,3.6154585666481758,13040.834555573867
2021-03-20,170.2684165464304,1.8282548356556736,13211.102972120298
2021-03-21,168.1673623328432,1.978510110484312,13379.27033445314
2021-03-22,166.06067515065348,3.6800315976671776,13545.331009603793
2021-03-23,172.94838706350836,3.5454567274293898,13718.279396667302
2021-03-24,168.83053179245286,3.468036042354066,13887.109928459755
2021-03-25,172.7071447059513,3.827883794722674,14059.817073165706
2021-03-26,168.5782628094211,3.7008063403050624,14228.395335975127
2021-03-27,168.4439247342825,1.9427273994229508,14396.839260709408
2021-03-28,164.30417072652665,1.8795313752167884,14561.143431435936
2021-03-29,168.15904263480638,3.5320913855253893,14729.302474070742
2021-03-30,171.00858389805236,3.8087037451043955,14900.311057968795
2021-03-31,168.85283953261902,3.6575875061793566,15069.163897501414
2021-04-01,164.69185611896316,3.568324279530012,15233.855753620377
2021-04-02,167.52568178786038,3.7062539648129853,15401.381435408237
2021-04-03,167.3543662061622,1.9029774406959603,15568.735801614399
2021-04-04,166.17796056209895,2.0649705360846844,15734.913762176498
2021-04-05,167.99651755013227,3.815447359951669,15902.910279726631
2021-04-06,166.81009135536203,3.5785609802467224,16069.720371081994
2021-04-07,167.61873763749205,3.5570056213163315,16237.339108719487
2021-04-08,166.4225135143595,3.2977775492517583,16403.761622233847
2021-04-09,165.22147754503285,3.4448166210804207,16568.98309977888
2021-04-10,168.01568971248327,1.8644035105764891,16736.998789491365
2021-04-11,165.80521140583468,1.9671226022174404,16902.8040008972
2021-04-12,167.5901054021978,3.5921866552758455,17070.394106299394
2021-04-13,166.37043584809325,3.4585337063876573,17236.764542147488
2021-04-14,164.1462682404698,3.5955928148169956,17400.91081038796
2021-04-15,167.91766940732248,3.696441707518059,17568.82847979528
2021-04-16,163.68470748791728,3.6978580623766053,17732.5131872832
2021-04-17,162.44745191262768,1.8203557378643793,17894.960639195826
2021-04-18,164.20597338238895,1.9434211152248453,18059.166612578214
2021-04-19,168.96034384777664,3.4442064661069947,18228.12695642599
2021-04-20,164.7106364877154,3.7393106851507927,18392.837592913704
2021-04-21,162.45692568782388,3.721960069837534,18555.294518601528
2021-04-22,161.19928701840314,3.5011030823008893,18716.49380561993
2021-04-23,160.9377972120739,3.515977479689055,18877.431602832006
